replaces_job_id	index	account	attack	budget	victim_model	selector_model	K	targets	victims	craft_ensemble	num_surrogates	craft_steps	time_limit	run_name	job_file
927172	84	aip-boyuwang	gradmatch	0.002	ConvNetBN	VGG13BN	30	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt70	job_084_gm_b0002_vconv_svgg_k30.sh
927175	87	aip-boyuwang	gradmatch	0.002	ResNet20BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt14	job_087_gm_b0002_vr20_sconv_k10.sh
927178	90	aip-boyuwang	gradmatch	0.002	ResNet20BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K3_ce5_tgt14	job_090_gm_b0002_vr20_sr20_k3.sh
927181	93	aip-boyuwang	gradmatch	0.002	ResNet20BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K1_ce5_tgt14	job_093_gm_b0002_vr20_svgg_k1.sh
927184	96	aip-boyuwang	gradmatch	0.002	ResNet20BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_ResNet20BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchVGG13BN_K30_ce5_tgt14	job_096_gm_b0002_vr20_svgg_k30.sh
927187	99	aip-boyuwang	gradmatch	0.002	VGG13BN	ConvNetBN	10	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchConvNetBN_K10_ce5_tgt50	job_099_gm_b0002_vvgg_sconv_k10.sh
927190	102	aip-boyuwang	gradmatch	0.002	VGG13BN	ResNet20BN	3	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_selarchResNet20BN_K3_ce5_tgt50	job_102_gm_b0002_vvgg_sr20_k3.sh
927193	105	aip-boyuwang	gradmatch	0.002	VGG13BN	VGG13BN	1	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K1_ce5_tgt50	job_105_gm_b0002_vvgg_svgg_k1.sh
927196	108	aip-boyuwang	gradmatch	0.002	VGG13BN	VGG13BN	30	10	6	5	30	250	0-03:50:00	CIFAR10_VGG13BN_gradmatch_ours_dog-bird_b0.002_eps8_seed42_lam1_cosine_K30_ce5_tgt50	job_108_gm_b0002_vvgg_svgg_k30.sh
927199	111	aip-boyuwang	gradmatch	0.005	ConvNetBN	ConvNetBN	10	10	6	5	30	250	0-03:10:00	CIFAR10_ConvNetBN_gradmatch_ours_dog-bird_b0.005_eps8_seed42_lam1_cosine_K10_ce5_tgt70	job_111_gm_b0005_vconv_sconv_k10.sh
